0	6	10	12.53	15.232	13.892	12.884	18.868	18.357	14.176	15.97	13.038	14.798	17.32	22.912	20.637	16.79	21.4	22.516	24.25	24.716	25.903	23.895	18.655	15.843	23.62	21.4	22.133	19.52	20.42	7
6	0	12	11	14	14.56	11.402	17.205	15.232	12.884	17.06	14.353	15.97	18.33	22.16	19.774	15.716	20.542	21.7	23.49	24	25.53	18.655	17.664	14.663	21.285	18.79	21.33	20.42	21.283	9.22
10	12	0	12	14	13.416	8	16	18	10	18	16.432	19	20.59	22.912	20.615	16.763	17.176	18.6	20.663	23.41	19.545	16.793	15.685	12.207	15.166	18.166	20.663	22.47	23.257	12.207
12.53	11	12	0	7.211	6	3	10.44	13.416	6.708	13.784	18.083	19.39	17.03	19.44	16.673	11.576	17.35	18.71	20.762	21.517	18.083	15.066	13.82	9.696	19.365	16.583	18.493	19.26	20.173	14.353
15.232	14	14	7.211	0	4	7.81	12.688	6	9.849	15.556	20.05	16.673	18.493	20.737	18.166	13.638	18.79	19.85	21.795	22.693	20.22	17.576	16.52	12.083	16.03	12.53	21.4	20.567	21.424	16.763
13.892	14.56	13.416	6	4	0	6.708	12.041	12	9	15.033	18.083	19.39	18.055	17.72	13.038	12.728	18.358	18.084	20.2	18.84	19.053	16.218	15.067	11.402	19.105	16.28	18.358	20.174	19.442	14.353
12.884	11.402	8	3	7.81	6.708	0	10	16	6	13.454	18.276	14.73	16.763	22.494	22.114	18.575	15.198	16.733	19.34	25.297	17.832	14.764	13.49	9.22	21.84	19.416	18.028	19.026	22.78	14.353
18.868	17.205	16	10.44	12.688	12.041	10	0	18.868	8	9	22.935	10.817	13.454	16.4	13	5	15.588	17.72	19.874	18.815	18.165	15.165	13.928	10.63	13.928	16.763	15.264	16.187	17.263	20.125
18.357	15.232	18	13.416	6	12	16	18.868	0	13	20.905	22.516	21.75	15.653	18.73	12.042	11.662	16.912	18.303	19.442	21.773	19.313	16.523	15.395	15	14.866	11	14.457	20.78	18.79	19.646
14.176	12.884	10	6.708	9.849	9	6	8	13	0	12.042	15.166	13.454	20	18.027	15	9	16	17.464	19.647	14.213	16.792	13.49	12.083	7	11.402	15.165	17	18.947	17.972	15.81
15.97	17.06	18	13.784	15.556	15.033	13.454	9	20.905	12.042	0	9.22	6	10	18.028	15.812	10.296	20.025	19.875	21.818	20.857	20.665	18.084	17.06	13.93	16.584	19.366	17.72	13.454	14.73	14.353
13.038	14.353	16.432	18.083	20.05	18.083	18.276	22.935	22.516	15.166	9.22	0	7	11.402	19.647	18.303	13.82	22.046	21.91	23.686	22.804	22.627	20.297	19.39	16.704	18.974	21.448	19.975	14.526	15.716	11
